name,relationship,verification_status
Webflow,Named as a client of retreat-planning companies in the documentary,Requires external verification
Monday.com,Named as a client of retreat-planning companies in the documentary,Requires external verification
Shopify,Named as a client of retreat-planning companies in the documentary,Requires external verification
Google,Named as a client of retreat-planning companies in the documentary,Requires external verification
NASA,Named as a client of retreat-planning companies in the documentary,Requires external verification
Netflix,Named as a client of retreat-planning companies in the documentary,Requires external verification
Amazon,Named as a client of retreat-planning companies in the documentary,Requires external verification
IBM,Named as a client of retreat-planning companies in the documentary,Requires external verification
McKinsey,Named as a client of retreat-planning companies in the documentary,Requires external verification
Harvard,Named as a client of retreat-planning companies in the documentary,Requires external verification
