value,what_it_means,transcript_support
Alignment,Bring people toward shared priorities,"Retreat spending is framed as buying alignment, not rooms"
Trust,Build confidence in colleagues,Repeated across interviews and conclusion
Relationships,Strengthen interpersonal bonds,Face-to-face relationships remain important
Momentum,Create concentrated forward movement,Named as part of what companies buy
Psychological safety,Make teams safer to communicate honestly,Stella Garber links offsites to psychological safety
Headspace,Create a different mental context,Jesse Schoberg describes the value of a changed headspace
Deep exploration,Work through hard problems,Branca Ballot describes small groups gathering around one customer problem
Informal context,Create conversations outside meetings,Repeated throughout the documentary
Culture,Shape how a team experiences itself,Jared Kleinert and Meryl Johnston discuss intentional culture creation
Rest and space,Reduce overwhelm and support return to work,Barrett Brooks discusses carving out space
