name,entity_type,category,transcript_description,website,contact,verification_status
Surf Office,company,retreat planning company,Organizes retreats in more than 200 destinations,,,Verification required for company-specific claims
BoomPop,company,corporate offsite platform/company,Raised tens of millions of dollars to simplify corporate offsites,,,Verification required for company-specific claims
Offsite,company,corporate offsite platform/company,Built a platform for distributed companies to gather in person,,,Named in transcript
TeamOut,company,retreat planning company,Named as part of the retreat economy,,,Named in transcript
Moniker Partners,company,retreat planning company,Named as part of the retreat economy,,,Named in transcript
Flok,company,retreat planning company,Named as part of the retreat economy,,,Named in transcript
WorkTripp,company,retreat planning company,Named as part of the retreat economy,,,Named in transcript
NextRetreat,company,retreat planning company,Named as part of the retreat economy,,,Named in transcript
WeWork,company,flexible office company,Sold permanent proximity; valued at $47 billion in 2019 before Chapter 11 bankruptcy,,,Verification required for company-specific claims
Remote Year,company,remote travel/community company,Shut down,,,Verification required for company-specific claims
Selina,company,hospitality/coliving company,Collapsed,,,Verification required for company-specific claims
Hacker Paradise,company,remote travel/community company,Merged,,,Verification required for company-specific claims
YPO,organization or community,CEO peer group,Remote work did not invent paid peer gathering behavior,,,Verification required for dates and details
Vistage,organization or community,CEO peer group,Remote work did not invent paid peer gathering behavior,,,Verification required for dates and details
EO,organization or community,entrepreneur peer group,Named as an established model of leaders paying to gather,,,Verification required for dates and details
The Remote Work Tribe,organization or community,podcast and newsletter,Primary research context in documentary,,,Verification required for dates and details
