speaker,paraphrased_quote,theme
Stella Garber,People assume remote means you do not value face time; offsites build trust and psychological safety,Remote does not reject face time
William Chia,Remote versus in-person is a false dichotomy; effective remote work requires face-to-face time,Hybrid logic without daily office attendance
Meryl Johnston,Remote-first and location-independent teams can still value face-to-face relationships,Remote-first is not isolation
Jared Kleinert,Offsites can grow culture or become a box-checking perk,Intent matters more than attendance
Jared Kleinert,"Gathering design includes environment, facilitation, invitees, and goals",Retreats are designed experiences
Jesse Schoberg,The value comes from the extra moments around work and the different headspace,The product surrounds the meeting
Branca Ballot,A few people can gather around one customer problem for deeper thinking,Selective proximity for difficult work
Scott Brills,Run the trip first with friends and family who will give grace,Retreat-business operating advice
Barrett Brooks,Create space so rest does not produce a return to overwhelm,Connection and recovery are linked
John Yarbrough,"Remote work created more time for walks, cooking, and self-care",Remote work enables a different life
