category,transcript_role
Corporate retreats,Named as part of the broader economy selling intentional in-person gathering
Team offsites,Named as part of the broader economy selling intentional in-person gathering
Founder masterminds,Named as part of the broader economy selling intentional in-person gathering
CEO peer groups,Named as part of the broader economy selling intentional in-person gathering
Digital nomad communities,Named as part of the broader economy selling intentional in-person gathering
Coliving companies,Named as part of the broader economy selling intentional in-person gathering
Writing retreats,Named as part of the broader economy selling intentional in-person gathering
Creator retreats,Named as part of the broader economy selling intentional in-person gathering
Leadership retreats,Named as part of the broader economy selling intentional in-person gathering
AI retreats,Named as part of the broader economy selling intentional in-person gathering
Wellness retreats,Named as part of the broader economy selling intentional in-person gathering
Retreat consulting and education,Named as part of the broader economy selling intentional in-person gathering
Remote entrepreneur communities,Named as part of the broader economy selling intentional in-person gathering
