claim,evidence_location,evidence_type,source_named_in_script,verification_status,publication_note
The global corporate retreat market was worth $31.8 billion in 2024,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
The market is projected to more than double over the next decade,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Companies are increasing offsite budgets,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Companies are hosting more retreats than before the pandemic,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
The number of companies holding zero retreats has almost disappeared,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Some retreat companies manage hundreds of retreats each year,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Some oversee more than $100 million in annual retreat spending,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Some retreats cost several thousand dollars per employee,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Surf Office organizes retreats in more than 200 destinations,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
BoomPop raised tens of millions of dollars,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
WeWork was valued at $47 billion in 2019,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
WeWork filed for Chapter 11 bankruptcy,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
YPO was founded in 1950,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Vistage was founded in 1957,Documentary narration,Narrator claim,No,Requires external verification,Do not present as independently verified until sourced
Jessica Malnik has worked remotely for more than a decade,Documentary narration,Narrator claim,No,Transcript-supported personal statement,Do not present as independently verified until sourced
Jessica Malnik interviewed dozens of remote-first founders,Documentary narration,Narrator claim,No,Transcript-supported creator statement,Do not present as independently verified until sourced
Stella Garber: Offsites build trust and psychological safety; remote does not mean rejecting face time,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
William Chia: Remote versus in-person is a false dichotomy; effective remote work requires face-to-face time,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Meryl Johnston: Remote-first teams can value face-to-face relationships; retreat organizers should handle details while leaders shape goals and culture,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
"Jared Kleinert: Offsites can build culture or become a box-checking perk; gathering design should start with goals, environment, facilitation, and invitees",Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Jesse Schoberg: The value of gathering comes from the extra moments around work and a changed headspace,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Branca Ballot: Small in-person groups can gather around one difficult customer problem for deeper exploration,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Scott Brills: Prospective retreat operators should run the trip first with forgiving participants,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Amar Ghose: Off-topic water-cooler questions and team retreats support informal connection,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Barrett Brooks: Creating space and rest helps people return without feeling overwhelmed,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
"John Yarbrough: Remote work created time for walks, cooking, and intentional self-care",Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
Jessica Malnik: Worked remotely for more than a decade; interviewed dozens of remote-first founders,Interview clip in script,Interview testimony,Yes,Transcript-supported,Attribute to speaker
