name,role_or_context,transcript_contribution,evidence_type
Stella Garber,remote-work interviewee,Offsites build trust and psychological safety; remote does not mean rejecting face time,Interview clip
William Chia,remote-work interviewee,Remote versus in-person is a false dichotomy; effective remote work requires face-to-face time,Interview clip
Meryl Johnston,remote-first bookkeeping founder/interviewee,Remote-first teams can value face-to-face relationships; retreat organizers should handle details while leaders shape goals and culture,Interview clips
Jared Kleinert,Offsite founder,"Offsites can build culture or become a box-checking perk; gathering design should start with goals, environment, facilitation, and invitees",Interview clips
Jesse Schoberg,founder/interviewee,The value of gathering comes from the extra moments around work and a changed headspace,Interview clip
Branca Ballot,remote-work interviewee,Small in-person groups can gather around one difficult customer problem for deeper exploration,Interview clip
Scott Brills,retreat business adviser/interviewee,Prospective retreat operators should run the trip first with forgiving participants,Interview clip
Amar Ghose,remote-work interviewee,Off-topic water-cooler questions and team retreats support informal connection,Interview clip
Barrett Brooks,remote-work interviewee,Creating space and rest helps people return without feeling overwhelmed,Interview clip
John Yarbrough,remote-work interviewee,"Remote work created time for walks, cooking, and intentional self-care",Interview clip
Jessica Malnik,documentary creator,Worked remotely for more than a decade; interviewed dozens of remote-first founders,Narration
